JobID|State|ExitCode|Elapsed|MaxRSS|AllocCPUS
50497534_85|COMPLETED|0:0|00:01:03||2
50497534_85.batch|COMPLETED|0:0|00:01:03|522316K|2
50497534_85.extern|COMPLETED|0:0|00:01:04||2
50497534_86|COMPLETED|0:0|00:01:11||2
50497534_86.batch|COMPLETED|0:0|00:01:11|523200K|2
50497534_86.extern|COMPLETED|0:0|00:01:11||2
50497534_87|COMPLETED|0:0|00:01:21||2
50497534_87.batch|COMPLETED|0:0|00:01:21|523660K|2
50497534_87.extern|COMPLETED|0:0|00:01:21||2
50497534_88|COMPLETED|0:0|00:01:14||2
50497534_88.batch|COMPLETED|0:0|00:01:14|524408K|2
50497534_88.extern|COMPLETED|0:0|00:01:14||2
50497534_89|COMPLETED|0:0|00:01:26||2
50497534_89.batch|COMPLETED|0:0|00:01:26|520068K|2
50497534_89.extern|COMPLETED|0:0|00:01:26||2
50497534_90|COMPLETED|0:0|00:00:43||2
50497534_90.batch|COMPLETED|0:0|00:00:43|521128K|2
50497534_90.extern|COMPLETED|0:0|00:00:43||2
50497534_91|COMPLETED|0:0|00:00:43||2
50497534_91.batch|COMPLETED|0:0|00:00:43|516500K|2
50497534_91.extern|COMPLETED|0:0|00:00:43||2
50497534_92|COMPLETED|0:0|00:00:43||2
50497534_92.batch|COMPLETED|0:0|00:00:43|517060K|2
50497534_92.extern|COMPLETED|0:0|00:00:43||2
50497534_93|COMPLETED|0:0|00:00:43||2
50497534_93.batch|COMPLETED|0:0|00:00:43|514992K|2
50497534_93.extern|COMPLETED|0:0|00:00:43||2
50497534_94|COMPLETED|0:0|00:00:42||2
50497534_94.batch|COMPLETED|0:0|00:00:42|516828K|2
50497534_94.extern|COMPLETED|0:0|00:00:42||2
50497534_95|COMPLETED|0:0|00:13:21||2
50497534_95.batch|COMPLETED|0:0|00:13:21|520356K|2
50497534_95.extern|COMPLETED|0:0|00:13:21||2
50497534_96|COMPLETED|0:0|00:02:52||2
50497534_96.batch|COMPLETED|0:0|00:02:52|524960K|2
50497534_96.extern|COMPLETED|0:0|00:02:52||2
50497534_97|COMPLETED|0:0|00:13:46||2
